"","Player","Gender","Position","Years_of_Experience","Goals_Scored","Career_Games","Pass_Rating","Pace_Rating","Fifa20_Rating","Weekly_Wage"
"1","V. Van Dijk","Male","Defender",9,5,317,70,77,90,"£180,000"
"2","S. Mane","Male","Forward",8,178,339,77,94,88,"£100,000"
"3","M. Salah","Male","Forward",14,103,373,81,93,90,"£200,000"
"4","D. Origi","Male","Forward",7,80,255,67,82,78,"£45,000"
"5","R. Firmino","Male","Forward",9,115,382,80,77,86,"£180,000"
"6","Fabinho","Male","Midfield",8,27,240,78,68,85,"£100,000"
"7","J. Henderson,","Male","Midfield",11,33,426,83,64,83,"£140,000"
"8","A. Robertson","Male","Left Back",7,13,288,77,85,85,"£50,000"
"9","T. Alexandre-Arnold","Male","Right Back",4,12,119,82,80,83,"£40,000"
"10","G. Wijnaldum","Male","Midfield",16,123,502,78,77,84,"£75,000"
